SOUR CRM-IMITN-CULTURED,71.15,208,2.4,6.63,3,0.39,
MILK SUBSTITUTES-FLUID-W/LAURIC ACID OIL,88.18,61,1.75,6.16,33,0.39,
MILK-WHL-3.25% MILKFAT-W/ ADDED VITAMIN D,88.13,61,3.15,4.8,113,0.03,
MILK-PRODUCER-FLUID-3.7% MILKFAT,87.69,64,3.28,4.65,119,0.05,
MILK-RED FAT-FLUID-2% MILKFAT-W/ ADDED VIT A & VITAMIN D,89.21,50,3.3,4.8,120,0.02,
MILK-RED FAT-FLUID-2% MILKFAT-W/ ADDED NFMS- VIT A & VIT D,88.86,51,3.48,4.97,128,0.05,
MILK-RED FAT-FLUID-2% MILKFAT-PROT FORT-W/ ADDED VIT A & D,87.71,56,3.95,5.49,143,0.06,
MILK-LOWFAT-FLUID-1% MILKFAT-W/ ADDED VIT A & VITAMIN D,89.92,42,3.37,4.99,125,0.03,
MILK-LOWFAT-FLUID-1% MILKFAT-W/ ADD NONFAT MILK SOL-VIT A/ D,89.81,43,3.48,4.97,128,0.05,
MILK-LOWFAT-FLUID-1% MILKFAT-PROT FORT-W/ ADDED VIT A & D,88.74,48,3.93,5.52,142,0.06,
MILK-NONFAT-FLUID-W/ ADDED VIT A & VIT D (FAT FREE OR SKIM),90.84,34,3.37,4.96,122,0.03,
MILK-NONFAT-FLUID-W/ ADDED NONFAT MILK SOL-VIT A & VIT D,90.38,37,3.57,5.02,129,0.05,
MILK-NONFAT-FLUID-PROT FORT-W/ ADD VIT A & D (FAT FREE/SKIM),89.36,41,3.96,5.56,143,0.06,
MILK-BTTRMLK-FLUID-CULTURED-LOWFAT,90.13,40,3.31,4.79,116,0.05,
MILK-LO NA-FLUID,88.2,61,3.1,4.46,101,0.05,
MILK-DRY-WHL-W/ ADDED VITAMIN D,2.47,496,26.32,38.42,912,0.47,
MILK-DRY-NONFAT-REG-WO/ ADDED VIT A & VITAMIN D,3.16,362,36.16,51.98,1257,0.32,
MILK-DRY-NONFAT-INST-W/ ADDED VIT A & VITAMIN D,3.96,358,35.1,52.19,1231,0.31,
MILK-DRY-NONFAT-CA RED,4.9,354,35.5,51.8,280,0.32,
MILK-BUTTERMILK-DRIED,2.97,387,34.3,49,1184,0.3,
MILK-CND-COND-SWTND,27.16,321,7.91,54.4,284,0.19,
MILK-CND-EVAP-W/ ADDED VITAMIN D & WO/ ADDED VIT A,74.04,134,6.81,10.04,261,0.19,
MILK-CND-EVAP-NONFAT-W/ ADDED VIT A & VITAMIN D,79.4,78,7.55,11.35,290,0.29,
MILK-CHOC-FLUID-COMM-WHL-W/ ADDED VIT A & VITAMIN D,82.3,83,3.17,10.34,112,0.24,
MILK-CHOC-FLUID-COMM-RED FAT,82.17,76,2.99,12.13,109,0.24,
MILK-CHOC-LOWFAT-W/ ADDED VIT A & VITAMIN D,84.91,62,3.46,9.86,129,0.23,
MILK-CHOC BEV-HOT COCOA-HOMEMADE,82.45,77,3.52,10.74,114,0.42,
MILK-GOAT-FLUID-W/ ADDED VITAMIN D,87.03,69,3.56,4.45,134,0.05,
MILK-HUMAN-MATURE-FLUID,87.5,70,1.03,6.89,32,0.03,
MILK-INDIAN BUFFALO-FLUID,83.39,97,3.75,5.18,169,0.12,
MILK-SHEEP-FLUID,80.7,108,5.98,5.36,193,0.1,
MILK SHAKES-THICK CHOC,72.2,119,3.05,21.15,132,0.31,
MILK SHAKES-THICK VANILLA,74.45,112,3.86,17.75,146,0.1,
